Tytuł,Artysta
THE SOUND OF MUSIC,ORIGINAL CAST RECORDING
SGT PEPPER'S LONELY HEARTS CLUB BAND,BEATLES
BRIDGE OVER TROUBLED WATER,SIMON & GARFUNKEL
THE DARK SIDE OF THE MOON,PINK FLOYD
TUBULAR BELLS,MIKE OLDFIELD
GREATEST HITS,ABBA
BAT OUT OF HELL,MEAT LOAF
RUMOURS,FLEETWOOD MAC
GREASE,ORIGINAL SOUNDTRACK
THE WAR OF THE WORLDS,JEFF WAYNE
GREATEST HITS,QUEEN
THRILLER,MICHAEL JACKSON
LEGEND,BOB MARLEY & THE WAILERS
BROTHERS IN ARMS,DIRE STRAITS
GRACELAND,PAUL SIMON
THE JOSHUA TREE,U2
TRACY CHAPMAN,TRACY CHAPMAN
BUT SERIOUSLY,PHIL COLLINS
THE IMMACULATE COLLECTION,MADONNA
STARS,SIMPLY RED
AUTOMATIC FOR THE PEOPLE,REM
JAGGED LITTLE PILL,ALANIS MORISSETTE
WHAT'S THE STORY MORNING GLORY,OASIS
SPICE,SPICE GIRLS
TALK ON CORNERS,CORRS
COME ON OVER,SHANIA TWAIN
URBAN HYMNS,VERVE
I'VE BEEN EXPECTING YOU,ROBBIE WILLIAMS
LADIES & GENTLEMEN - THE BEST OF,GEORGE MICHAEL
WHITE LADDER,DAVID GRAY
THE MAN WHO,TRAVIS
THE MARSHALL MATHERS LP,EMINEM
NO ANGEL,DIDO
PARACHUTES,COLDPLAY
COME AWAY WITH ME,NORAH JONES
SCISSOR SISTERS,SCISSOR SISTERS
HOPES AND FEARS,KEANE
BACK TO BEDLAM,JAMES BLUNT
NEVER FORGET - THE ULTIMATE COLLECTION,TAKE THAT
BACK TO BLACK,AMY WINEHOUSE
EYES OPEN,SNOW PATROL
SPIRIT,LEONA LEWIS
ONLY BY THE NIGHT,KINGS OF LEON
THE FAME,LADY GAGA
CRAZY LOVE,MICHAEL BUBLE
21,ADELE
X,ED SHEERAN
